50000,0
2000,3
1800,2
1500,4
3000,1
2500,0
2100,3
1900,5
1600,2
2000,6
1200,4
1500,3
1800,1
2200,2
1700,5
1900,6
1100,4
2000,3
2000,1
2500,2
1600,3
2000,4
1400,2
2000,5
1100,1
1800,3
2500,6
2000,4
2300,2
1400,5
1800,3
2000,1
2100,2
1000,4
1600,6
1800,5
1200,3
2000,2
2100,4
1800,1
2300,3
1100,5
1900,6
1400,4
2000,2
1800,3
2000,1
2100,5
1800,4
1200,2
1600,3
2500,1
1600,6
1900,4
2000,5
2200,2
2100,3
1000,1
1100,4
2200,6
1400,5
1600,2
2100,4
2000,3
2200,1
2500,2
1800,5
2000,4
1200,3
2300,6
1600,2
2100,1
2000,5
1800,3
1600,4
150,0
140,0
120,1
100,10
50,1
149,4
148,3
142,5
140,0
139,0
138,0
137,0
136,0
130,0
120,0
120,0
120,0
100,0
50,0
